station_id,station_name,timestamp,temperature_c,pressure_hpa,humidity_pct,dew_point_c,wind_speed_ms,is_ground_truth_anomaly,ground_truth_label,anomaly_type
AWS-01,Delhi NCR Urban,2026-08-01T00:00:00+00:00,25.15,994.68,65.91,18.33,4.54,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T00:15:00+00:00,48.99,994.66,66.43,41.07,4.72,True,ANOMALY,SPIKE
AWS-01,Delhi NCR Urban,2026-08-01T00:30:00+00:00,24.6,994.27,68.22,18.35,3.22,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T00:45:00+00:00,24.49,1015.73,68.43,18.3,2.49,True,ANOMALY,SPIKE
AWS-01,Delhi NCR Urban,2026-08-01T01:00:00+00:00,24.48,993.82,67.26,18.02,8.38,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T01:15:00+00:00,23.3,993.64,68.38,17.15,3.39,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T01:30:00+00:00,23.91,993.14,68.89,17.85,3.57,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T01:45:00+00:00,23.66,993.62,67.41,17.27,5.25,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T02:00:00+00:00,23.95,992.79,69.06,17.93,3.36,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T02:15:00+00:00,24.99,992.89,66.66,18.36,0.5,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T02:30:00+00:00,23.89,993.17,66.91,17.37,1.1,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T02:45:00+00:00,24.12,992.93,67.15,17.64,4.89,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T03:00:00+00:00,24.04,992.53,66.0,17.29,4.83,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T03:15:00+00:00,24.55,993.07,68.5,18.37,4.51,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T03:30:00+00:00,24.78,992.47,66.38,18.09,3.37,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T03:45:00+00:00,24.56,993.02,65.33,17.63,3.2,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T04:00:00+00:00,24.07,992.43,66.12,17.36,1.99,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T04:15:00+00:00,25.61,992.8,65.32,18.62,5.56,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T04:30:00+00:00,26.31,992.89,65.21,19.26,4.82,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T04:45:00+00:00,26.14,992.77,64.48,18.91,3.6,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T05:00:00+00:00,26.45,992.78,63.59,18.99,6.48,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T05:15:00+00:00,27.17,992.85,64.78,19.97,4.42,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T05:30:00+00:00,27.68,992.65,60.38,19.32,0.98,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T05:45:00+00:00,27.91,1015.53,60.27,19.5,3.6,True,ANOMALY,SPIKE
AWS-01,Delhi NCR Urban,2026-08-01T06:00:00+00:00,28.07,993.69,60.36,19.68,4.14,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T06:15:00+00:00,28.58,993.89,61.67,20.51,3.32,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T06:30:00+00:00,28.98,993.08,59.09,20.19,1.78,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T06:45:00+00:00,29.38,993.77,59.58,20.7,4.66,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T07:00:00+00:00,29.8,993.33,58.91,20.9,3.87,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T07:15:00+00:00,30.0,994.04,57.67,20.75,3.29,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T07:30:00+00:00,30.96,994.15,56.84,21.4,3.42,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T07:45:00+00:00,31.15,994.64,54.32,20.85,5.47,False,NORMAL,NONE
AWS-01,Delhi NCR Urban,2026-08-01T08:00:00+00:00,32.01,994.79,53.7,21.45,4.87,False,NORMAL,NONE
